cd_fcu;tem_risco;n_setores_risco
16008080004;1;1
16008080005;1;1
17021090009;0;0
17021090010;0;0
17021090012;0;0
17021090013;0;0
17021090014;0;0
17021090015;0;0
17021090016;0;0
17021090017;0;0
17021090018;0;0
17021090019;0;0
17021090022;0;0
17021090023;0;0
17090050001;0;0
17095000004;0;0
17095000005;0;0
17165050001;0;0
17210000002;0;0
17210000003;0;0
17210000004;0;0
17210000005;0;0
17210000006;0;0
17210000007;0;0
17210000008;0;0
17210000009;0;0
17210000010;0;0
17210000014;0;0
17210000015;0;0
17210000016;0;0
17210000017;0;0
17210000018;0;0
17210000019;0;0
17210000020;0;0
17210000021;0;0
17210000024;0;0
17210000026;0;0
17210000030;0;0
17210000032;0;0
17210000033;0;0
17221070001;0;0
21000550002;0;0
21000550003;0;0
21023250002;0;0
21030000001;0;0
21030000002;0;0
21030000004;0;0
21053020001;1;1
21053020002;0;0
21053020003;0;0
21053020004;0;0
21053020005;0;0
21053020006;0;0
21053020007;0;0
21054010002;0;0
21054010003;1;1
21075060003;0;0
21075060005;0;0
21075060006;0;0
21075060007;0;0
21075060008;0;0
21075060009;0;0
21075060010;0;0
21075060011;0;0
21075060012;0;0
21075060013;0;0
21075060014;0;0
21075060015;0;0
21075060016;0;0
21075060018;0;0
21075060019;0;0
21075060021;0;0
21075060022;0;0
21075060024;0;0
21075060025;0;0
21075060026;0;0
21075060030;0;0
21075060031;0;0
21075060033;0;0
21075060034;0;0
21075060035;0;0
21075060036;0;0
21075060037;0;0
21075060038;0;0
21075060039;0;0
21075060041;0;0
21075060042;0;0
21075060043;0;0
21086030002;0;0
21094520001;0;0
21094520002;0;0
21094520003;0;0
21094520004;0;0
21094520005;0;0
21094520006;0;0
21094520007;0;0
21094520008;0;0
21094520009;0;0
21094520010;0;0
21094520011;0;0
21094520012;0;0
21099080001;0;0
21099080002;0;0
21112010013;0;0
21112010014;0;0
21112010015;0;0
21112010018;0;0
21112010022;0;0
21112010023;0;0
21112010024;1;1
21112010025;0;0
21112010027;0;0
21112010028;0;0
21112010029;0;0
21112010030;0;0
21112010032;0;0
21112010033;0;0
21112010034;0;0
21112010036;0;0
21112010037;1;1
21112010038;0;0
21112010039;0;0
21112010040;0;0
21112010041;0;0
21112010043;0;0
21112010044;0;0
21112010047;0;0
21112010048;0;0
21112010049;0;0
21112010050;0;0
21112010051;0;0
21112010052;0;0
21112010054;1;1
21113000008;0;0
21113000010;0;0
21113000011;1;1
21113000012;1;1
21113000013;0;0
21113000014;0;0
21113000015;1;1
21113000016;0;0
21113000017;0;0
21113000018;1;1
21113000019;0;0
21113000021;0;0
21113000022;0;0
