cd_fcu;CMAET60;CMAST60;CMATT60;CMACT60;year;nm_fcu;cd_mun;nm_mun
13026030136;NA;NA;NA;NA;NA;São Jorge A;1302603;Manaus
13026030138;NA;NA;NA;NA;NA;Nova Esperança A;1302603;Manaus
13026030139;NA;NA;NA;NA;NA;Alameda Cabral;1302603;Manaus
13026030140;NA;NA;NA;NA;NA;Alvorada III;1302603;Manaus
13026030141;NA;NA;NA;NA;NA;Avenida Nhamundá;1302603;Manaus
13026030142;NA;NA;NA;NA;NA;Beco Brasil;1302603;Manaus
13026030143;NA;NA;NA;NA;NA;Beco Costa e Silva;1302603;Manaus
13026030145;NA;NA;NA;NA;NA;Beco José Virgílio Antunes;1302603;Manaus
13026030146;NA;NA;NA;NA;NA;Beco Paraíso;1302603;Manaus
13026030147;NA;NA;NA;NA;NA;Beco São Francisco;1302603;Manaus
13026030148;NA;NA;NA;NA;NA;Centro;1302603;Manaus
13026030149;NA;NA;NA;NA;NA;Colônia;1302603;Manaus
13026030151;NA;NA;NA;NA;NA;Colônia Oliveira Machado;1302603;Manaus
